Номенклатура	Название номенклатуры	Код группы	Оригинальный код	Склад	Код палеты	В наличии	Зарезервировано	Доступно
5311212F	ДЕТАЛЬ FORD	FO.ЗЧ	5311212	2		1,00	1,00	0,00
5311538F	Болт	FO.ЗЧ	5311538	2		2,00	2,00	0,00
5312512F	Масляное уплотнение первичного вала КПП (ремкомплект)	FO.ЗЧ	5312512	2		6,00	0,00	6,00
5319434F	PART_FORD	FO.ЗЧ	5319434	2		1,00	0,00	1,00
5322300F	Блок сцепления DCPS	FO.ЗЧ	5322300	Бр		2,00	0,00	2,00
5322304F	Вилка выключения сцепления	FO.ЗЧ	5322304	2		2,00	0,00	2,00
5322308F	"Вилка выключения сцепления ""B"" DCPS"	FO.ЗЧ	5322308	2		2,00	0,00	2,00
5326687F	ДЕТАЛЬ FORD	FO.ЗЧ	5326687	2		1,00	0,00	1,00
5336244F	PART FORD	FO.ЗЧ	5336244	2		5,00	5,00	0,00
5341207F	Колодки тормозные задние мондео 2015	FO.ЗЧ.AM	5341207	2		3,00	0,00	3,00
53453003	Клей под пистолет в стержнях	РСХ.ТЦ.ОБ	Клейподпистолетвстер	Лаб		4,00	0,00	4,00
53453003*	Клей под пистолет (стерж.) 20шт.	МЛ.РСХ.ОБ	53453003	1		14,00	0,00	14,00
5348701F	Блок сцепления DCPS	FO.ЗЧ	5348701	2		2,00	2,00	0,00
5355593F	Топливопровод высокого давления	FO.ЗЧ.AM	5355593	2		2,00	0,00	2,00
5359543F	PART_ FORD	FO.ЗЧ	5359543	2		1,00	1,00	0,00
5360628F	зажим отделки (5)	FO.ЗЧ	5360628	2		5,00	2,00	3,00
5363143F	Ручка передней правой двери внутренняя	FO.ЗЧ.AM	5363143	2		1,00	0,00	1,00
5363252F	Втулка усилительная (комплект, 4 шт.)	FO.ЗЧ	5363252	2		0,75	0,00	0,75
538046	Масло компрессора кондиц. eBoost PAG-46, 480мл.  U488016P	РСХ.ХЛ	U488016P	1		275,00	55,00	220,00
5380633F	Ручка задней правой двери внутренняя	FO.ЗЧ.AM	5380633	2		1,00	0,00	1,00
5401R1	ДИСК КОЛЕСНЫЙ	PG.PGCT	5401R1	2		1,00	1,00	0,00
540401	ВЕНТИЛЬ КОЛ.В КОМПЛ.	PG.PGCT	540401	2		1,00	1,00	0,00
54200	Накидки на сиденье IMG 500шт	РСХ.ТЦ.ОБ	Накидкинасиденье4101	1		2,00	0,00	2,00
5441166F	лобовое стекло	FO.ЗЧ	5441166	2		2,00	2,00	0,00
5457459F	тяга	FO.ЗЧ	5457459	2		1,00	1,00	0,00
55702167	Упорная скоба крепления радиатора 55702167	CHE.ЗЧ	55702167	2		6,00	0,00	6,00
5702	Саморез М-25 крепления рамки номерного знака	ЗЧО.МТ	СаморезМ25крепленияр	2		50,00	0,00	50,00
5C6853630E ULM	Эмблема VW	VAG.VW.ЗЧ	5C6853630E ULM	2		1,00	1,00	0,00
5E0807905A	Защитная плёнка (2)	VAG.SK.ЗЧ	5E0807905A	2		1,00	1,00	0,00
5E5807421	Бампер задн. А7 х/б	VAG.SK.ЗЧ	5E5807421	2		1,00	1,00	0,00
5E5809601D	Крыло заднее левое А7 х/б	VAG.SK.ЗЧ	5E5809601D	2		1,00	1,00	0,00
5F2Z9Y450A	Болт	FO.ЗЧ.AM	5F2Z9Y450A	2		11,75	0,00	11,75
5JA807905B	Пленка крыла задн. лев. Рапид (2)	VAG.SK.ЗЧ	5JA807905B	2		1,00	1,00	0,00
5JH809605C	Крыло задн. лев. Рапид	VAG.SK.ЗЧ	5JH809605C	2		1,00	1,00	0,00
5L0819416  9B9	Панель стекла лоб. прав. Yeti	VAG.SK.ЗЧ	5L0819416  9B9	2		1,00	1,00	0,00
6033982F	КРЫШКА	FO.ЗЧ	6033982	2		1,00	0,00	1,00
6051881F	Кольцо стопорное	FO.ЗЧ	6051881	2		3,00	0,00	3,00
6079730F	Лампа безцокольная прозрачная 12V - 5W, W5W (10шт)	FO.ЗЧ	6079730	2		22,00	0,00	22,00
6079730F	Лампа безцокольная прозрачная 12V - 5W, W5W (10шт)	FO.ЗЧ	6079730	Вт		1,00	0,00	1,00
6081242F	УПЛОТН. ВТУЛКА	FO.ЗЧ	6081242	2		1,00	0,00	1,00
6090982F	Лампа 21/5 (10) ->	FO.ЗЧ	6090982	Бр		1,00	0,00	1,00
6090983F	ЛАМПА 12V 21W, прозрачный, для фонаря заднего хода (10)	FO.ЗЧ	6090983	2		5,00	1,00	4,00
6090984F	ЛАМПА (10)	FO.ЗЧ	6090984	2		7,00	0,00	7,00
6090985F	ЛАМПА (10)	FO.ЗЧ	6090985	2		5,00	0,00	5,00
6094824F	Кольцо стопорное (5)	FO.ЗЧ	6094824	2		4,00	0,00	4,00
60U833051	Дверь задняя левая Rapid	VAG.SK.ЗЧ	60U833051	2		1,00	1,00	0,00
6113436F	УПОРНАЯ ВТУЛКА	FO.ЗЧ	6113436	2		4,00	0,00	4,00
6135	Саморез М-16 со сверлом	ЗЧО.МТ	СаморезМ16сосверлом	2		869,00	0,00	869,00
6203036F	ДИСТ. ЭЛЕМЕНТ (5)	FO.ЗЧ	6203036	2		3,00	0,00	3,00
6216A3	Лампа фары	PG.PGCT	6216A3	2		1,00	1,00	0,00
6301-300066	Жидкость низкозамерз. EURO (Gulf Stream) -30 кан.4л	РСХ.ТЦ.ОБ	6301-300066	4		6,00	0,00	6,00
6325G6	УКАЗАТЕЛЬ ПОВОРОТОВ	PG.PGCT	6325G6	2		1,00	1,00	0,00
6350CV	ФОНАРЬ ЗАДНИЙ (лев) 308	PG.PG	6350CV	2		1,00	1,00	0,00
6350FH	ФОНАРЬ ЗАДНИЙ	PG.PGCT	6350FH	2		1,00	1,00	0,00
641742K000	КУЗОВНОЙ КРОНШТЕЙН ТРОСИКА ЗАМКА КАПОТА	KIA.ЗЧ	641742K000	2		1,00	0,00	1,00
6439H8	ТРУБКА	PG.PGCT	6439H8	2		1,00	1,00	0,00
6503553F	Гайка выпускной системы М10х1.5 (25)	FO.ЗЧ	6503553	2		33,00	8,00	25,00
6518101F	Гайка выпускной системы М10х1.5 (10)	FO.ЗЧ	6518101	2		19,00	2,00	17,00
6644977F	ШЕСТ. ГАЙКА.	FO.ЗЧ	6644977	2		8,00	0,00	8,00
6695573F	СТ. КОЛЬО	FO.ЗЧ	6695573	2		3,00	0,00	3,00
6696122F	ФИКС. ОТДЕЛКИ	FO.ЗЧ	6696122	2		4,00	0,00	4,00
6717617F	Клипсы внутренней обивки задней панели	FO.ЗЧ	6717617	2		15,00	0,00	15,00
6756321F	ГАЙКА УДЛИНИТЕЛ (5)	FO.ЗЧ	6756321	2		4,00	0,00	4,00
6757649F	Стопорное кольцо	FO.ЗЧ	6757649	2		3,00	1,00	2,00
6791073F	Кольцо стопорное MMT6/VMT6, FORD	FO.ЗЧ	6791073	2		3,00	0,00	3,00
6795135F	ЗАЖИМ	FO.ЗЧ	6795135	2		3,00	0,00	3,00
6800422F	ЗАЖИМ	FO.ЗЧ	6800422	2		42,00	0,00	42,00
6802339F	ДЕРЖАТЕЛЬ (5)	FO.ЗЧ	6802339	2		4,00	0,00	4,00
6815611F	Гайка закладная (25)	FO.ЗЧ	6815611	2		25,00	2,00	23,00
6820737F	ЗАКЛЕПКА	FO.ЗЧ	6820737	2		3,00	3,00	0,00
6822N2	ФИКСАТОР КРЕПЕЖНЫЙ	PG.PGCT	6822N2	2		10,00	0,00	10,00
6822XS	ФИКСАТОР	PG.PGCT	6822XS	2		3,00	0,00	3,00
6866401F	Болт М8х25мм (5)	FO.ЗЧ	6866401	2		4,00	0,00	4,00
6882557F	ЗАЖИМ	FO.ЗЧ	6882557	2		1,00	0,00	1,00
6911485F	ДИСТ. ЭЛЕМЕНТ	FO.ЗЧ	6911485	2		23,00	0,00	23,00
69200A7070	КРЫШКА БАГАЖНИКА	KIA.ЗЧ	69200A7070	2		1,00	1,00	0,00
6924J7	БОЛТ	PG.PGCT	6924J7	2		6,00	6,00	0,00
6925A5	БОЛТ	PG.PGCT	6925A5	2		4,00	0,00	4,00
693648	ГАЙКА ПОЛУОСИ	PG.PGCT	693648	2		2,00	0,00	2,00
694115	ГАЙКА СТОПОР.ПУТ.ОБЖ.	PG.PGCT	694115	2		2,00	0,00	2,00
694784	ШАЙБА	PG.PGCT	694784	2		12,00	12,00	0,00
6955543F	ЗАКЛЕПКА (5)	FO.ЗЧ	6955543	2		7,00	2,00	5,00
697040	Заклепка	PG.PGCT	697040	2		40,00	40,00	0,00
697045	ЗАКЛЕПКА	PG.PGCT	697045	2		43,00	43,00	0,00
697046	ЗАКЛЕПКА	PG.PGCT	697046	2		33,00	33,00	0,00
697305	ЗАКЛЕПКА	PG.PGCT	697305	2		42,00	42,00	0,00
697327	ЗАКЛЕПКА	PG.PGCT	697327	2		21,00	21,00	0,00
697330	ЗАКЛЕПКА	PG.PGCT	697330	2		4,00	4,00	0,00
697347	ЗАКЛЕПКА	PG.PGCT	697347	2		32,00	32,00	0,00
697384	ЗАКЛЕПКА	PG.PGCT	697384	2		10,00	10,00	0,00
697388	ЗАКЛЕПКА	PG.PGCT	697388	2		19,00	19,00	0,00
6973C1	ЗАКЛЕПКА	PG.PGCT	6973C1	2		10,00	10,00	0,00
6981J8	МЕТАЛЛИЧЕСКИЙ ХОМУТ	PG.PGCT	6981J8	2		1,00	0,00	1,00
699062	ФИКСАТОР	PG.PGCT	699062	2		4,00	4,00	0,00
6991S6	Фиксатор	PG.PGCT	6991S6	2		11,00	11,00	0,00
6C0853687  2ZZ	Надпись	VAG.VW.ЗЧ	6C0853687  2ZZ	2		1,00	1,00	0,00
6L2Z1012BA	Гайка колесная	FO.ЗЧ.AM	6L2Z1012BA	2		3,00	0,00	3,00
6R0121207Q	Кожух вентилятора	VAG.SK.ЗЧ	6R0121207Q	2		1,00	0,00	1,00
6R0121217	Воздухонаправляющее кольцо вентилятора	VAG.SK.ЗЧ	6R0121217	2		1,00	0,00	1,00
6RU807421B GRU	БАМПЕР	VAG.VW.ЗЧ	6RU807421B GRU	2		1,00	1,00	0,00
6RU853955  2ZZ	Накладка защитная	VAG.VW.ЗЧ	6RU853955  2ZZ	2		1,00	1,00	0,00
6V0601147  Z31	Колпак колеса	VAG.SK.ЗЧ	6V0601147  Z31	2		1,00	1,00	0,00
7000412F	ЗАКЛЕПКА (30)	FO.ЗЧ	7000412	2		15,00	15,00	0,00
7003178F	ЭЛ.ДВИГ./НАСОС	FO.ЗЧ	7003178	2		1,00	0,00	1,00
7032	"Хомут ""Норма"" 32/50"	ЗЧО.МТ	"Хомут""Норма""3250"	2		10,00	0,00	10,00
7101-151834	Шнур бутиловый уплотнительный , (10мм) уп.10м	МЛ.РСХ.ОБ	7101-151834	1		7,00	0,00	7,00
7108-724262	Сверло для точечной сварки D8x45мм (пневм. дрель)	МЛ.РСХ.ОБ	7108-724262	2		4,00	0,00	4,00
7111447F	ШЕСТ.БОЛТ ФЛАН.	FO.ЗЧ	7111447	2		3,00	0,00	3,00
7119LR	Кронштейн	PG.PG	7119LR	2		3,00	3,00	0,00
7120PW	ОПОРА ПЕРЕДНЕГО КРЫЛА	PG.PG	7120PW	2		1,00	1,00	0,00
7120PX	ВНУТР.ПАН.ПЕРЕД.КРЫЛА	PG.PG	7120PX	2		1,00	0,00	1,00
7410EP	БАМПЕР ЗАДНИЙ	PG.PG	7410EP	2		1,00	1,00	0,00
7410FR	БАМПЕР ЗАДНИЙ (черный сруктурный	PG.PGCT	7410FR	2		1,00	1,00	0,00
7410GE	БАМПЕР ЗАДНИЙ (без отверстий под молдинг)	PG.PGCT	7410GE	2		1,00	1,00	0,00
7410GJ	БАМПЕР ЗАДНИЙ (c отверстиями под молдинг)	PG.PGCT	7410GJ	2		1,00	1,00	0,00
7416H9	КОМПЛЕКТ ОПОРЫ	PG.PGCT	7416H9	2		1,00	1,00	0,00
742734	ГАЙКА ПЛАСТИНЧАТАЯ	PG.PGCT	742734	2		4,00	0,00	4,00
7452PX	Спойлер заднего бампера	PG.PG	7452PX	2		1,00	1,00	0,00
7588VX	Фиксатор	PG.PGCT	7588VX	2		3,00	3,00	0,00
7589	Салфетка из микрофибры CA-103, СА-131	РСХ.ТЦ.ОБ	7589	1		8,40	0,10	8,30
76004F1000	Двери передняя правая KIA Sportage QL 76004F1000	KIA.ЗЧ	76004F1000	2		2,00	2,00	0,00
77003F1000	Дверь задняя левая  77003F1000	KIA.ЗЧ	77003F1000	2		1,00	1,00	0,00
77004F1000	Двери задняя правая KIA Sportage QL 77004F1000	KIA.ЗЧ	77004F1000	2		2,00	2,00	0,00
7841T8	Крыло переднее правое	PG.PGCT	7841T8	2		1,00	1,00	0,00
7903072300	ЗАКЛЕПКА	PG.CT	7903072300	2		28,00	28,00	0,00
7908K2	АМОРТИЗАТОР	PG.PGCT	7908K2	2		1,00	1,00	0,00
792838	ФИКСАТОР КРЕПЛ.РУЧКИ	PG.PGCT	792838	2		1,00	0,00	1,00
7E0845099AANVB	Ветровое стекло без	VAG.VW.NFPR	7E0845099AANVB	2		1,00	1,00	0,00
7E5Z7275AC	Фланец привода карданного вала заднего моста	FO.ЗЧ.AM	7E5Z7275AC	2		2,00	0,00	2,00
7E5Z7H469C	Сальник	FO.ЗЧ.AM	7E5Z7H469C	2		2,00	0,00	2,00
7L1Z19E880A	Фильтр системы вентиляции	FO.ЗЧ.AM	7L1Z19E880A	2		6,00	2,00	4,00
7T4Z14526A	Предохранитель	FO.ЗЧ.AM	7T4Z14526A	2		0,40	0,00	0,40
7T4Z17B649AA	Датчик уровня	FO.ЗЧ.AM	7T4Z17B649AA	2		1,00	0,00	1,00
7T4Z18246A	Дефлектор, Edge	FO.АКС	7T4Z18246A	Вт		2,00	0,00	2,00
7T4Z7086A	Прокладка	FO.ЗЧ.AM	7T4Z7086A	2		1,00	0,00	1,00
7T4Z9450AA	Прокладка приемной трубы	FO.ЗЧ.AM	7T4Z9450AA	2		1,00	0,00	1,00
7T4Z9601A	Фильтр воздушный, Explorer (3)	FO.ЗЧ.AM	7T4Z9601A	2		22,00	1,00	21,00
80050	"Герметик силиконовый (прозрачный) ""Permatex"" RTV тюбик 85гр."	РСХ.ТЦ.ГР	PERMATEX	1		1,00	0,00	1,00
80070	Смазка силиконовая Permatex 80070	РСХ.ТЦ.СМ	СмазкасиликоноваяPer	2		9,50	0,20	9,30
80070	Смазка силиконовая Permatex 80070	РСХ.ТЦ.СМ	СмазкасиликоноваяPer	4		5,00	0,00	5,00
80079	"Очиститель дрос.засл. ""Permatex"",  450мл,  80079"	РСХ.ТЦ.ОЧ	80079	2		9,00	1,00	8,00
80370	Покрытие защитное для клемм аккумулятора 141гр Аэроз.	РСХ.ТЦ.СМ	Покрытиезащитноедляк	2		13,50	0,20	13,30
81158	"Герметик силиконовый черный ""Permatex"" RTV тюбик 85гр."	РСХ.ТЦ.ГР	PERMATEX	1		2,00	0,00	2,00
8116PZ	Стекло лобовое	PG.PG	8116PZ	2		1,00	0,00	1,00
81784E4000	Заклепка  81784E4000	KIA.ЗЧ	81784E4000	2		8,00	8,00	0,00
82019	Клей многофункцион. (аэроз.,297гр.)	МЛ.РСХ.ОБ	82019	2		1,00	0,00	1,00
82180	"Герметик силиконовый черный ""Ultra Black"",95г."	РСХ.ТЦ.ГР	PERMATEX	1		3,00	0,00	3,00
82190	Клей моментальный 2гр	РСХ.ТЦ.ОБ	82190	1		3,00	0,00	3,00
823012PJC0VA	ВНУТРЕННЯЯ ПАНЕЛЬ ДВЕРИ	KIA.ЗЧ	823012PJC0VA	Бр		1,00	0,00	1,00
82860D9000	Молдинг передней правой двери верхний хром 82860D9000	KIA.ЗЧ	82860D9000	2		2,00	2,00	0,00
830434	БАЛКА КРЫШИ	PG.PGCT	830434	2		2,00	0,00	2,00
8335AT	ПРОКЛАДКА КРЫШИ	PG.PGCT	8335AT	2		1,00	0,00	1,00
83860D9000	МОЛДИНГ ДВЕРИ	KIA.ЗЧ	83860D9000	2		2,00	2,00	0,00
8501F2	ПАНЕЛЬ БОКОВАЯ	PG.PGCT	8501F2	2		1,00	1,00	0,00
8503NQ	MONTANT EXT	PG.PGCT	8503NQ	2		1,00	1,00	0,00
850683	ФИКСАТОР	PG.PGCT	850683	2		10,00	10,00	0,00
8526KV	ОПОРА	PG.PG	8526KV	2		1,00	0,00	1,00
8526LC	КРЫЛО ЗАДНЕЕ	PG.PGCT	8526LC	2		1,00	1,00	0,00
853423	ПОДКРЫЛОК	PG.PGCT	853423	2		1,00	1,00	0,00
8545FE	МОЛДИНГ ДВЕРИ	PG.PGCT	8545FE	2		1,00	1,00	0,00
8546T8	МОЛДИНГ ДВЕРИ	PG.PGCT	8546T8	2		1,00	1,00	0,00
8547W6	КОЖУХ ЗАЩИТНЫЙ	PG.PGCT	8547W6	2		1,00	1,00	0,00
856540	Фиксатор	PG.PGCT	856540	2		40,00	40,00	0,00
856548	ФИКСАТОР	PG.PGCT	856548	2		6,00	6,00	0,00
856560	ФИКСАТОР	PG.PGCT	856560	2		4,00	0,00	4,00
85730A7050WK	ВНУТРЕННЯЯ ПАНЕЛЬ БАГАЖНОГО ОТСЕКА	KIA.ЗЧ	85730A7050WK	2		1,00	1,00	0,00
858504Y0008M	ВНУТРЕННЯЯ ПАНЕЛЬ СТОЙКИ КУЗОВА	KIA.ЗЧ	858504Y0008M	2		1,00	0,00	1,00
86110B2100	ВЕТРОВОЕ СТЕКЛО	KIA.ЗЧ	86110B2100	2		1,00	1,00	0,00
861303W000	УПЛОТНИТЕЛЬ ВЕТРОВОГО СТЕКЛА 861303W000	KIA.ЗЧ.КУЗ	861303W000	2		1,00	0,00	1,00
86131B2000	Молдинг ветрового стекла Kia 86131B2000	KIA.ЗЧ	86131B2000	2		1,00	1,00	0,00
86310A7050	"ЭМБЛЕМА ДЕКОРАТИВНАЯ ""KIA"" 86310A7050"	KIA.ЗЧ	86310A7050	2		1,00	1,00	0,00
86310B2000	Надпись крышки багажника KIA Soul 86310B2000	KIA.ЗЧ	86310B2000	2		1,00	0,00	1,00
86311B2100	Надпись GDI 86311B2100	KIA.ЗЧ.АКС	86311B2100	2		1,00	0,00	1,00
86320B2100	Эмблема крышки багажника KIA Soul 86320B2100	KIA.ЗЧ	86320B2100	2		1,00	0,00	1,00
86342D9000	Надпись AWD двери передней правой KIA Sportage QL 86342D9000	KIA.ЗЧ.КУЗ	86342D9000	2		1,00	1,00	0,00
86373D9000	Наклейка рамки двери передней правойKIA Sportage QL 86373D9000	KIA.ЗЧ.КУЗ	86373D9000	2		2,00	2,00	0,00
86381D9000	Наклейка рамки двери задней левой 86381D9000	KIA.ЗЧ	86381D9000	2		2,00	1,00	1,00
86391D9000	Наклейка рамки двери задней правойKIA Sportage QL 86391D9000	KIA.ЗЧ.КУЗ	86391D9000	2		2,00	2,00	0,00
865114Y500	ПАНЕЛЬ ПЕРЕДНЕГО БАМПЕРА 865114Y500	KIA.ЗЧ	865114Y500	2		1,00	1,00	0,00
86511F1000	Бампер передний 86511F1000	KIA.ЗЧ	86511F1000	2		1,00	1,00	0,00
86522F1100	Облицовка правого ПТФ  86522F1100	KIA.ЗЧ	86522F1100	2		1,00	1,00	0,00
8659028000	клипса Kia AII 8659028000	KIA.ЗЧ.КУЗ	8659028000	2		47,00	47,00	0,00
865952T500	ФИКСАТОР БАМПЕРА	KIA.ЗЧ	865952T500	2		96,00	96,00	0,00
866113U500	ПАНЕЛЬ ЗАДНЕГО БАМПЕРА	KIA.ЗЧ	866113U500	2		1,00	1,00	0,00
866114Y500	ПАНЕЛЬ ЗАД БАМПЕРА	KIA.ЗЧ	866114Y500	2		1,00	1,00	0,00
86611A7010	ПАНЕЛЬ БАМПЕРА 86611A7010	KIA.ЗЧ	86611A7010	2		1,00	1,00	0,00
86611F1100	Бампер задний Sportage  86611F1100	KIA.ЗЧ	86611F1100	2		1,00	1,00	0,00
866124Y500	Спойлер заднего бампера Kia Rio 866124Y500	KIA.ЗЧ	866124Y500	2		2,00	2,00	0,00
86612F1100	Спойлер заднего бампера Sportage 16  86612F1100	KIA.ЗЧ	86612F1100	2		1,00	1,00	0,00
868124Y500	Подкрылок передний правый 868124Y500	KIA.ЗЧ	868124Y500	2		1,00	1,00	0,00
8701W4	УПЛОТНИТЕЛЬ	PG.PGCT	8701W4	2		14,00	3,00	11,00
8707H7	УПЛОТН-ЛЬ ДВЕРИ ЗАДКА	PG.PGCT	8707H7	2		1,00	1,00	0,00
8717E5	ЗАКЛЕПКА	PG.PGCT	8717E5	2		22,00	22,00	0,00
873131C000	ГАЙКА М6 873131C000	Kia	873131C000	2		1,00	0,00	1,00
873598	ПРОКЛАДКА	PG.PGCT	873598	2		1,00	1,00	0,00
87539D9000	Антигравийная наклейка задней левой двери 87539D9000	KIA.ЗЧ	87539D9000	2		1,00	1,00	0,00
87549D9000	Антигравийная наклейка двери задней правой KIA Sportage QL 87549D9000	KIA.ЗЧ.КУЗ	87549D9000	2		2,00	2,00	0,00
877162W000	ФИКСАТОР МОЛДИНГА ПОРОГА КУЗОВА	KIA.ЗЧ	877162W000	2		50,00	50,00	0,00
87741F1000	Расширитель крыла заднего левого 87741F1000	KIA.ЗЧ	87741F1000	2		1,00	1,00	0,00
87742F1000	Расширитель крыла заднего правого KIA Sportage QL 87742F1000	KIA.ЗЧ	87742F1000	2		1,00	1,00	0,00
87751F1000	Накладка порога левого 87751F1000	KIA.ЗЧ	87751F1000	2		1,00	1,00	0,00
87752F1000	Накладка порога правого KIA Sportage QL 87752F1000	KIA.ЗЧ	87752F1000	2		1,00	1,00	0,00
877561F000	ФИКСАТОР МОЛДИНГА КРЫШИ 877561F000	Kia	877561F000	2		50,00	50,00	0,00
877583L000	ФИКСАТОР МОЛДИНГА КУЗОВА 877583L000	Kia	877583L000	2		50,00	50,00	0,00
87766A2500	МОЛДИНГ ПОРОГА КУЗОВА	KIA.ЗЧ	87766A2500	2		1,00	0,00	1,00
896481	ФИКСАТОР	PG.PGCT	896481	2		10,00	0,00	10,00
9002T9	ДВЕРЬ ПЕРЕДНЯЯ	PG.PGCT	9002T9	2		1,00	1,00	0,00
9006R7	ДВЕРЬ ЗАДНЯЯ	PG.PG	9006R7	2		1,00	1,00	0,00
9025J8	ФИКСАТОР	PG.PGCT	9025J8	2		37,00	20,00	17,00
922024Y600	ПТФ передняя правая Kia Rio  922024Y600	KIA.ЗЧ.КУЗ	922024Y600	2		1,00	1,00	0,00
92233089	Ручка двери наружняя 92233089	CHE.ЗЧ	92233089	2		1,00	1,00	0,00
92233091	Крышка ручки двери 92233091	CHE.ЗЧ	92233091	2		1,00	1,00	0,00
922735	ФИКСАТОР	PG.PGCT	922735	2		10,00	0,00	10,00
92401A7010	Фонарь задний левый на крыле Kia Cerato 92401A7010	KIA.ЗЧ.КУЗ	92401A7010	2		1,00	1,00	0,00
9245523000	ГАЙКА М6 9245523000	Kia	9245523000	2		1,00	0,00	1,00
92485A7000	Кожух фиксатора заднего фонаря	KIA.ЗЧ	92485A7000	2		1,00	1,00	0,00
936595	ЛИСТ ПАНЕЛИ ЕТС	PG.PGCT	936595	2		1,00	1,00	0,00
9365EN	ЛИСТ ПАНЕЛИ ЕТС	PG.PGCT	9365EN	2		1,00	1,00	0,00
9365HQ	ШУМОИЗОЛЯЦИЯ ДВЕРИ	PG.PG	9365HQ	2		1,00	1,00	0,00
93740293	Бампер передний Lacetti HB 93740293	CHE.ЗЧ	93740293	2		1,00	0,00	1,00
94515068	ГАЙКА	CHE.ЗЧ	94515068	2		2,00	0,00	2,00
94515128	Гайка 94515128	CHE.ЗЧ	94515128	2		6,00	0,00	6,00
94530122	Хомут глушителя 94530122	CHE.ЗЧ	94530122	2		10,00	0,00	10,00
94530326	Фиксатор решетки радиатора 94530326	CHE.ЗЧ	94530326	2		1,00	0,00	1,00
94530742	Пистон 94530742	CHE.ЗЧ	94530742	2		78,00	3,00	75,00
94530790	Фиксатор 94530790	CHE.ЗЧ	94530790	2		2,00	0,00	2,00
94551826	Датчик парковки 94551826	CHE.ЗЧ	94551826	2		1,00	0,00	1,00
94567585	Опорная планка панели кузова 94567585	CHE.ЗЧ	94567585	2		4,00	0,00	4,00
94571356	МОЛДИНГ ВЕТРОВОГО СТЕКЛА 94571356	CHE.ЗЧ	94571356	2		2,00	2,00	0,00
94745850	Наклейка двери задней левой 94745850 52075984	CHE.ЗЧ.COB.GMB	94745850	2		1,00	0,00	1,00
94775701	Подкрылок передний правый задняя часть 94775701  52037215	CHE.ЗЧ.COB	94775701	2		1,00	0,00	1,00
94816321	Кронштейн усилителя переднего бампера нижний правый 94816321	CHE.ЗЧ	94816321	2		1,00	0,00	1,00
95016081	Корпус зеркала правый 95016081	CHE.ЗЧ	95016081	2		1,00	0,00	1,00
95025308	Пыльник ДВС нижний 95025308  95417115	CHE.ЗЧ	95025308	2		1,00	0,00	1,00
95032032	Решетка радиатора 95032032	CHE.ЗЧ	95032032	2		1,00	1,00	0,00
95032173	Накладка передней панели передняя 95032173	CHE.ЗЧ	95032173	2		1,00	1,00	0,00
95040745	Диск колеса 95040745	CHE.ЗЧ	95040745	2		1,00	1,00	0,00
95048782	Накладка фары передней правой 95048782	CHE.ЗЧ	95048782	2		1,00	0,00	1,00
95074313	Расширитель крыла переднего левого 95074313	CHE.ЗЧ	95074313	2		1,00	1,00	0,00
95074483	Подкрылок передний правый 95074483	CHE.ЗЧ	95074483	2		1,00	0,00	1,00
95134007	Стекло лобовое Cruze (без окошка под VIN) 95134007	CHE.ЗЧ	95134007	2		1,00	1,00	0,00
95135078	Кронштейн переднего левого подкрылка  к бамперу 95135078	CHE.ЗЧ	95135078	2		1,00	1,00	0,00
95181806	Наклейка рамки двери передней правой передняя 95181806	CHE.ЗЧ	95181806	2		8,00	0,00	8,00
95189791	Подкрылок задний правый 95189791	CHE.ЗЧ	95189791	2		1,00	0,00	1,00
95215865	Крыло заднее левое 95215865	CHE.ЗЧ	95215865	2		2,00	2,00	0,00
95233526	Эмблема 95233526	CHE.ЗЧ	95233526	2		1,00	0,00	1,00
95240543	Фонарь противотуманный задний правый Cruze х/б 95240543 95486701	CHE.ЗЧ	95486701	2		1,00	1,00	0,00
95242606	Дверь задняя левая Orlando 95242606 95095393	CHE.ЗЧ	95095393	2		2,00	2,00	0,00
95244498	Наполнитель переднего бампера Orlando 95244498 95404883	CHE.ЗЧ	95404883	2		1,00	1,00	0,00
95270093	Бампер задний БЕЗ отверстий под парктроник 95270093 95925458 95404332	CHE.ЗЧ	95270093	2		1,00	1,00	0,00
95273453	Накладка задней левой двери Orlando 95273453	CHE.ЗЧ	95273453	2		1,00	1,00	0,00
95299734	Дверь задняя левая Aveo (седан)  95299734	CHE.ЗЧ	95299734	2		1,00	0,00	1,00
95299889	Молдинг ветрового стекла ORLANDO 95299889	CHE.ЗЧ	95299889	2		1,00	1,00	0,00
95323215	Бампер задний Cruze 95323215	CHE.ЗЧ	95323215	Бр		1,00	0,00	1,00
95328081	Заглушка буксировочной петли заднего бампера Cruz 2013	CHE.ЗЧ	95328081	2		1,00	0,00	1,00
95333821	площадка под номерной знак Cruze 95333821	CHE.ЗЧ	95333821	2		1,00	0,00	1,00
95411424	Бампер передний 95411424  95077573	CHE.ЗЧ	95411424	2		1,00	1,00	0,00
95414397	Ремень безопасности пассажира 95414397	CHE.ЗЧ	95414397	2		1,00	0,00	1,00
95437108	Стекло лобовое 95437108	CHE.ЗЧ	95437108	2		1,00	1,00	0,00
95437469	Расширитель крыла заднего левого 95437469	CHE.ЗЧ	95437469	2		2,00	2,00	0,00
95460133	Дверь задняя боковая 95460133  95416991	CHE.ЗЧ	95460133	2		1,00	0,00	1,00
